name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Denzel Washington,1954-12-28,USA
Leonardo DiCaprio,1974-11-11,USA
Scarlett Johansson,1984-11-22,USA
Ryan Reynolds,1976-10-23,CAN
Emma Watson,1990-04-15,GBR
Chris Hemsworth,1983-08-11,AUS
Emma Watson,1990-04-15,GBR
Daniel Radcliffe,1989-07-23,GBR
Rupert Grint,1988-08-24,GBR
HughJackman,1968-10-12,AUS
Jennifer Lawrence,1990-08-15,USA
Sandra Bullock,1964-07-16,USA
Will Smith,1968-09-25,USA
Angelina Jolie,1975-06-04,USA
Brad Pitt,1963-12-18,USA
Tom Cruise,1962-07-03,USA
Halle Berry,1966-08-14,USA
Russell Crowe,1964-04-07,NZL
Cate Blanchett,1969-05-14,AUS
Charlize Theron,1975-08-07,ZAF
Christian Bale,1974-01-30,GBR
Benedict Cumberbatch,1976-07-19,GBR
Natalie Portman,1981-06-09,ISR
Matthew McConaughey,1969-11-04,USA
Eddie Murphy,1961-04-10,USA
Morgan Freeman,1937-06-01,USA
Robert Downey Jr.,1965-04-04,USA
Hugh Jackman,1968-10-12,AUS
Scarlett Johansson,1984-11-22,USA
Chris Evans,1981-06-13,USA
Samuel L. Jackson,1948-12-21,USA
Anne Hathaway,1982-11-13,USA
George Clooney,1961-05-06,USA
Javier Bardem,1969-03-01,ESP
Viola Davis,1965-08-11,USA
Saoirse Ronan,1994-04-12,IRL
Emilia Clarke,1986-05-23,GBR
Lupita Nyong'o,1983-03-01,MEX
Mahershala Ali,1971-06-16,USA
Oscar Isaac,1979-03-09,GTM
Brie Larson,1989-04-21,USA
John Boyega,1990-12-17,GBR
Zendaya,1996-09-01,USA
Awkwafina,1988-02-02,USA
Timothée Chalamet,1990-12-27,USA
Florence Pugh,1996-01-03,GBR
Anya Taylor-Joy,1996-10-26,ARG
Daniel Kaluuya,1989-02-28,GBR
Tessa Thompson,1983-03-03,USA
Lakeith Stanfield,1991-12-12,USA
Hailee Steinfeld,2000-12-11,USA
Alden Ehrenreich,1989-11-08,USA
John David Washington,1980-07-28,USA
Jodie Comer,1993-03-01,GBR
Simu Liu,1982-04-19,CAN
Ana de Armas,1988-04-30,CUB
Rosamund Pike,1974-01-26,GBR
Domhnall Gleeson,1983-12-12,IRL
Paul Rudd,1968-04-06,USA
Evangeline Lilly,1979-08-03,CAN
Jennifer Aniston,1969-02-11,USA
Tilda Swinton,1960-05-11,GBR
Daniel Craig,1968-03-02,GBR
Keira Knightley,1985-03-26,GBR
Blake Lively,1987-08-25,USA
Ian McKellen,1939-05-25,GBR
Michael Fassbender,1977-04-02,DEU
Eddie Redmayne,1982-01-06,GBR
Colin Firth,1960-10-09,GBR
Dwayne Johnson,1972-05-02,USA
